class,title,module,diagram_svg,diagram_png,icon_svg,icon_png,recommended_placement
0,Build your own lab,Start,diagrams/00-build-your-own-lab.svg,,icons/00-lab-icon.svg,,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
1,"VMs, hypervisors, and Proxmox",Infrastructure,diagrams/01-vms-hypervisors-and-proxmox.svg,,icons/01-vm-icon.svg,icons/01-vm-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
2,Docker Compose,Infrastructure,diagrams/02-docker-compose.svg,,icons/02-dc-icon.svg,icons/02-dc-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
3,Docker networking,Infrastructure,diagrams/03-docker-networking.svg,,icons/03-net-icon.svg,icons/03-net-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
4,Container operations,Infrastructure,diagrams/04-container-operations.svg,,icons/04-ops-icon.svg,icons/04-ops-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
5,Prowlarr and ARR flow,ARR,diagrams/05-prowlarr-and-arr-flow.svg,,icons/05-arr-icon.svg,icons/05-arr-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
6,TRaSH quality profiles,ARR,diagrams/06-trash-quality-profiles.svg,,icons/06-qp-icon.svg,icons/06-qp-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
7,Configuration automation,ARR,diagrams/07-configuration-automation.svg,,icons/07-cfg-icon.svg,icons/07-cfg-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
8,Home Assistant foundations,Home Assistant,diagrams/08-home-assistant-foundations.svg,,icons/08-ha-icon.svg,icons/08-ha-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
9,Home Assistant automations,Home Assistant,diagrams/09-home-assistant-automations.svg,,icons/09-auto-icon.svg,icons/09-auto-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
10,Secure remote access,Home Assistant,diagrams/10-secure-remote-access.svg,,icons/10-tls-icon.svg,icons/10-tls-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
11,Local voice architecture,Voice,diagrams/11-local-voice-architecture.svg,,icons/11-vox-icon.svg,icons/11-vox-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
12,"Whisper, Piper, Wyoming",Voice,diagrams/12-whisper-piper-wyoming.svg,,icons/12-wyo-icon.svg,icons/12-wyo-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
13,Private smart speaker,Voice,diagrams/13-private-smart-speaker.svg,,icons/13-spk-icon.svg,icons/13-spk-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
14,n8n homelab automation,Automation,diagrams/14-n8n-homelab-automation.svg,,icons/14-n8n-icon.svg,icons/14-n8n-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
15,IPv4 addresses and gateways,Infrastructure,diagrams/15-ipv4-addresses-and-gateways.svg,,icons/15-ipv4-icon.svg,icons/15-ipv4-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
16,Linux filesystem and navigation,Linux,diagrams/16-linux-filesystem-and-navigation.svg,,icons/16-fs-icon.svg,icons/16-fs-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
17,Shell pipes and redirection,Linux,diagrams/17-shell-pipes-and-redirection.svg,,icons/17-pipe-icon.svg,icons/17-pipe-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
18,"Users, groups, permissions, and least privilege",Linux,diagrams/18-users-groups-permissions-and-least-privilege.svg,,icons/18-rwx-icon.svg,icons/18-rwx-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
19,"Processes, signals, and systemd",Linux,diagrams/19-processes-signals-and-systemd.svg,,icons/19-pid-icon.svg,icons/19-pid-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
20,Logs and journalctl,Linux,diagrams/20-logs-and-journalctl.svg,,icons/20-log-icon.svg,icons/20-log-icon.png,"Lesson, reading, lab, homework, and quiz: the same visual at the top."
