sample_id,profile,attachment,comparison_sensitivity,jealousy_inertia,n_comparisons,j0,delta_jealousy,j1,trust0,trust1,bounds_ok
S001,otacon,0.7321,0.5128,0.4928,3,0.336,0.1193,0.4348,0.75,0.7471,1
S002,otacon,0.7178,0.5021,0.5009,7,0.3105,0.1472,0.4319,0.75,0.7465,1
S003,default,0.625,0.4624,0.4944,2,0.1449,0.0952,0.2236,0.72,0.7177,1
S004,default,0.6276,0.506,0.5155,8,0.2898,0.1446,0.4083,0.72,0.7165,1
S005,otacon,0.7038,0.5467,0.5096,0,0.0689,0.0928,0.1451,0.75,0.7478,1
S006,default,0.6525,0.5064,0.5084,4,0.1084,0.1254,0.2115,0.72,0.717,1
S007,solid_snake,0.6251,0.322,0.4297,3,0.2372,0.0727,0.299,0.7,0.6983,1
S008,otacon,0.7154,0.5036,0.5333,7,0.0227,0.1475,0.1427,0.75,0.7465,1
S009,otacon,0.7138,0.5435,0.5057,7,0.2029,0.1592,0.3339,0.75,0.7462,1
S010,otacon,0.7056,0.5967,0.498,1,0.12,0.1135,0.2138,0.75,0.7473,1
S011,albedo,0.7535,0.9594,0.6947,4,0.1656,0.2445,0.3506,0.55,0.5441,1
S012,otacon,0.7277,0.5486,0.5273,2,0.2801,0.1163,0.375,0.75,0.7472,1
S013,otacon,0.6668,0.5873,0.4945,4,0.1595,0.146,0.2803,0.75,0.7465,1
S014,albedo,0.7468,0.9221,0.758,3,0.2025,0.2155,0.3608,0.55,0.5448,1
S015,solid_snake,0.6308,0.3457,0.4394,2,0.3229,0.0713,0.3832,0.7,0.6983,1
S016,default,0.6363,0.5343,0.5107,7,0.1221,0.1531,0.2478,0.72,0.7163,1
S017,otacon,0.7137,0.5936,0.5117,1,0.0473,0.1132,0.1403,0.75,0.7473,1
S018,albedo,0.758,0.9311,0.707,6,0.0475,0.2761,0.2553,0.55,0.5434,1
S019,otacon,0.7092,0.5653,0.4951,0,0.053,0.0961,0.1325,0.75,0.7477,1
S020,albedo,0.7633,0.9401,0.7045,3,0.3063,0.2207,0.4726,0.55,0.5447,1
S021,default,0.6259,0.4694,0.5101,1,0.1284,0.0873,0.2001,0.72,0.7179,1
S022,otacon,0.6678,0.553,0.4631,4,0.307,0.1375,0.4222,0.75,0.7467,1
S023,albedo,0.7924,0.9661,0.709,5,0.0997,0.269,0.302,0.55,0.5435,1
S024,albedo,0.7563,0.9011,0.7575,1,0.1888,0.1739,0.3166,0.55,0.5458,1
S025,solid_snake,0.6317,0.343,0.4854,6,0.1219,0.0981,0.2033,0.7,0.6976,1
S026,otacon,0.7281,0.5735,0.5334,2,0.3226,0.1216,0.4215,0.75,0.7471,1
S027,otacon,0.6841,0.5664,0.5127,8,0.2074,0.1645,0.3423,0.75,0.7461,1
S028,otacon,0.7166,0.524,0.4901,7,0.2022,0.1536,0.3295,0.75,0.7463,1
S029,otacon,0.6642,0.5221,0.5156,7,0.2123,0.1508,0.3358,0.75,0.7464,1
S030,default,0.6866,0.524,0.4902,2,0.0684,0.1098,0.1593,0.72,0.7174,1
S031,otacon,0.7221,0.5193,0.4813,6,0.1381,0.1524,0.2649,0.75,0.7463,1
S032,albedo,0.8039,0.8936,0.7406,8,0.112,0.2683,0.3107,0.55,0.5436,1
S033,default,0.6237,0.4656,0.4956,1,0.0301,0.0865,0.1016,0.72,0.7179,1
S034,solid_snake,0.6188,0.3482,0.4235,0,0.3376,0.0577,0.3867,0.7,0.6986,1
S035,otacon,0.7199,0.5705,0.5317,7,0.0446,0.1674,0.1808,0.75,0.746,1
S036,albedo,0.7492,0.9157,0.7482,1,0.2058,0.1764,0.336,0.55,0.5458,1
S037,solid_snake,0.624,0.3817,0.4254,4,0.0646,0.0937,0.1444,0.7,0.6978,1
S038,otacon,0.7189,0.521,0.5321,5,0.2479,0.1421,0.3636,0.75,0.7466,1
S039,default,0.6713,0.4587,0.5239,4,0.1869,0.1142,0.2802,0.72,0.7173,1
S040,otacon,0.732,0.509,0.4739,8,0.0324,0.1498,0.1574,0.75,0.7464,1
S041,default,0.6239,0.5401,0.4946,7,0.1876,0.1541,0.3151,0.72,0.7163,1
S042,albedo,0.7683,0.8969,0.6961,7,0.1099,0.2667,0.3116,0.55,0.5436,1
S043,solid_snake,0.6803,0.3924,0.432,4,0.1553,0.0979,0.2385,0.7,0.6976,1
S044,otacon,0.6698,0.5566,0.4677,2,0.1759,0.116,0.273,0.75,0.7472,1
S045,default,0.6509,0.4857,0.462,0,0.0502,0.0812,0.1182,0.72,0.7181,1
S046,otacon,0.6963,0.5616,0.4929,0,0.1094,0.0951,0.1881,0.75,0.7477,1
S047,default,0.6741,0.5401,0.4767,7,0.3198,0.1564,0.4502,0.72,0.7162,1
S048,solid_snake,0.6601,0.3385,0.4595,5,0.3409,0.0908,0.4171,0.7,0.6978,1
S049,albedo,0.789,0.9368,0.689,6,0.3111,0.2802,0.5237,0.55,0.5433,1
S050,albedo,0.7875,0.897,0.7549,3,0.1016,0.212,0.2576,0.55,0.5449,1
S051,otacon,0.7192,0.5213,0.4882,5,0.1342,0.1422,0.2522,0.75,0.7466,1
S052,default,0.6273,0.4775,0.5032,0,0.205,0.0793,0.2704,0.72,0.7181,1
S053,default,0.6297,0.4674,0.4909,7,0.1108,0.1336,0.2214,0.72,0.7168,1
S054,default,0.6569,0.5267,0.4878,3,0.1143,0.12,0.2139,0.72,0.7171,1
S055,albedo,0.7528,0.8814,0.734,7,0.3116,0.261,0.5055,0.55,0.5437,1
S056,default,0.6317,0.5361,0.4782,4,0.0725,0.132,0.1824,0.72,0.7168,1
S057,solid_snake,0.6461,0.3045,0.4316,3,0.1238,0.0692,0.1825,0.7,0.6983,1
S058,otacon,0.6627,0.5903,0.4658,0,0.1382,0.0991,0.2211,0.75,0.7476,1
S059,default,0.633,0.4726,0.4958,2,0.0656,0.0975,0.1461,0.72,0.7177,1
S060,otacon,0.6919,0.5619,0.4975,4,0.088,0.1407,0.2042,0.75,0.7466,1
S061,default,0.6488,0.5229,0.4947,2,0.1369,0.1084,0.2265,0.72,0.7174,1
S062,otacon,0.7343,0.5004,0.5368,7,0.1021,0.1474,0.2218,0.75,0.7465,1
S063,otacon,0.6859,0.5172,0.4983,8,0.2364,0.1503,0.3605,0.75,0.7464,1
S064,otacon,0.6728,0.5841,0.5385,3,0.2482,0.1337,0.3567,0.75,0.7468,1
S065,otacon,0.7089,0.5409,0.5328,5,0.0593,0.1472,0.179,0.75,0.7465,1
S066,albedo,0.7526,0.9456,0.7537,2,0.1436,0.2018,0.2922,0.55,0.5452,1
S067,solid_snake,0.6286,0.342,0.454,4,0.155,0.0841,0.2258,0.7,0.698,1
S068,default,0.6824,0.5476,0.469,1,0.0469,0.1035,0.1334,0.72,0.7175,1
S069,default,0.6387,0.4948,0.5112,2,0.1061,0.1023,0.19,0.72,0.7175,1
S070,default,0.6318,0.5027,0.4723,4,0.2472,0.1237,0.3505,0.72,0.717,1
S071,default,0.6273,0.5006,0.4999,7,0.3169,0.143,0.4349,0.72,0.7166,1
S072,default,0.6766,0.5126,0.5155,0,0.3476,0.0864,0.4184,0.72,0.7179,1
S073,default,0.6174,0.4676,0.4743,1,0.0702,0.0868,0.1425,0.72,0.7179,1
S074,solid_snake,0.6135,0.3035,0.43,5,0.0915,0.0803,0.1598,0.7,0.6981,1
S075,otacon,0.7208,0.5511,0.4717,4,0.0571,0.1391,0.1733,0.75,0.7467,1
S076,otacon,0.6865,0.526,0.5092,2,0.0854,0.1102,0.1759,0.75,0.7474,1
S077,otacon,0.6825,0.5783,0.5177,8,0.3252,0.1679,0.4627,0.75,0.746,1
S078,solid_snake,0.6582,0.3999,0.4452,3,0.348,0.0911,0.425,0.7,0.6978,1
S079,solid_snake,0.6624,0.3393,0.4668,6,0.2578,0.0979,0.3397,0.7,0.6977,1
S080,default,0.6547,0.5389,0.4878,1,0.1643,0.1011,0.2481,0.72,0.7176,1
S081,default,0.6497,0.5415,0.4701,0,0.1142,0.0905,0.1898,0.72,0.7178,1
S082,default,0.6153,0.5322,0.5064,4,0.1336,0.1304,0.2409,0.72,0.7169,1
S083,solid_snake,0.6841,0.3897,0.4348,2,0.0708,0.0816,0.14,0.7,0.698,1
S084,albedo,0.7712,0.8814,0.6997,8,0.1705,0.2623,0.3686,0.55,0.5437,1
S085,albedo,0.7455,0.9201,0.7364,0,0.2829,0.1581,0.4002,0.55,0.5462,1
S086,otacon,0.6674,0.5999,0.5363,7,0.1922,0.1734,0.333,0.75,0.7458,1
S087,default,0.6417,0.4733,0.4747,3,0.3081,0.1074,0.3976,0.72,0.7174,1
S088,solid_snake,0.6576,0.3208,0.4702,5,0.2441,0.086,0.316,0.7,0.6979,1
S089,otacon,0.715,0.5806,0.5373,4,0.2495,0.1463,0.3683,0.75,0.7465,1
S090,otacon,0.6651,0.5655,0.4771,7,0.2496,0.1633,0.3856,0.75,0.7461,1
S091,solid_snake,0.6263,0.3876,0.4498,2,0.1868,0.0798,0.2541,0.7,0.6981,1
S092,solid_snake,0.6697,0.3181,0.432,4,0.1741,0.0792,0.2413,0.7,0.6981,1
S093,default,0.6494,0.4848,0.5398,0,0.3445,0.081,0.4102,0.72,0.7181,1
S094,otacon,0.6616,0.532,0.5194,3,0.2004,0.1214,0.2997,0.75,0.7471,1
S095,otacon,0.7117,0.5468,0.4859,4,0.0803,0.1377,0.1946,0.75,0.7467,1
S096,albedo,0.7788,0.9605,0.7271,0,0.1452,0.1665,0.2693,0.55,0.546,1
S097,default,0.6642,0.5419,0.5343,5,0.1609,0.1456,0.2793,0.72,0.7165,1
S098,default,0.6402,0.4905,0.5315,2,0.1013,0.1014,0.1838,0.72,0.7176,1
S099,default,0.6131,0.4684,0.4817,7,0.1674,0.1333,0.2782,0.72,0.7168,1
S100,solid_snake,0.6689,0.3203,0.4446,0,0.3256,0.0538,0.3711,0.7,0.6987,1
S101,default,0.6398,0.52,0.5088,0,0.1901,0.0867,0.2614,0.72,0.7179,1
S102,default,0.6324,0.4905,0.5106,0,0.3412,0.0816,0.4083,0.72,0.718,1
S103,default,0.6292,0.4919,0.5218,7,0.1309,0.1406,0.2458,0.72,0.7166,1
S104,solid_snake,0.6777,0.324,0.4269,4,0.0727,0.0808,0.1414,0.7,0.6981,1
S105,default,0.6136,0.5343,0.5137,4,0.085,0.1308,0.1923,0.72,0.7169,1
S106,albedo,0.7701,0.8939,0.6829,5,0.1603,0.2474,0.3485,0.55,0.5441,1
S107,default,0.6605,0.4537,0.4774,1,0.0609,0.0852,0.1319,0.72,0.718,1
S108,otacon,0.6858,0.5583,0.5336,2,0.2045,0.1169,0.2996,0.75,0.7472,1
S109,otacon,0.7345,0.5603,0.5012,7,0.1836,0.165,0.3197,0.75,0.746,1
S110,albedo,0.7697,0.9487,0.7195,4,0.3004,0.2428,0.4821,0.55,0.5442,1
S111,solid_snake,0.6235,0.3087,0.4282,5,0.0692,0.0819,0.1389,0.7,0.698,1
S112,otacon,0.6644,0.5423,0.5047,5,0.1552,0.1457,0.2751,0.75,0.7465,1
S113,otacon,0.6611,0.5102,0.5163,4,0.2031,0.1267,0.3068,0.75,0.747,1
S114,default,0.6566,0.5016,0.4929,4,0.0772,0.1244,0.1801,0.72,0.717,1
S115,otacon,0.7143,0.5127,0.4635,6,0.1456,0.1502,0.2714,0.75,0.7464,1
S116,solid_snake,0.6895,0.3024,0.4209,2,0.0877,0.0634,0.1418,0.7,0.6985,1
S117,default,0.6628,0.5291,0.4848,6,0.2591,0.1527,0.3859,0.72,0.7163,1
S118,albedo,0.8058,0.9205,0.7531,5,0.208,0.2573,0.3975,0.55,0.5438,1
S119,default,0.6712,0.4796,0.5246,3,0.1128,0.1097,0.2024,0.72,0.7174,1
S120,solid_snake,0.6492,0.3368,0.4876,6,0.133,0.0968,0.2133,0.7,0.6977,1
