sample_id,param,scale,delta_jealousy,j1
P01-01,comparison_sensitivity,0.9,0.1953,0.2661
P01-02,comparison_sensitivity,0.9133,0.1982,0.2683
P01-03,comparison_sensitivity,0.9267,0.2011,0.2704
P01-04,comparison_sensitivity,0.94,0.204,0.2726
P01-05,comparison_sensitivity,0.9533,0.2069,0.2747
P01-06,comparison_sensitivity,0.9667,0.2098,0.2769
P01-07,comparison_sensitivity,0.98,0.2127,0.2791
P01-08,comparison_sensitivity,0.9933,0.2156,0.2812
P01-09,comparison_sensitivity,1.0067,0.2185,0.2834
P01-10,comparison_sensitivity,1.02,0.2213,0.2856
P01-11,comparison_sensitivity,1.0333,0.2242,0.2877
P01-12,comparison_sensitivity,1.0467,0.2271,0.2899
P01-13,comparison_sensitivity,1.06,0.23,0.2921
P01-14,comparison_sensitivity,1.0733,0.2329,0.2942
P01-15,comparison_sensitivity,1.0867,0.2358,0.2964
P01-16,comparison_sensitivity,1.1,0.2387,0.2986
P02-01,attachment,0.9,0.2123,0.2788
P02-02,attachment,0.9133,0.2129,0.2793
P02-03,attachment,0.9267,0.2136,0.2798
P02-04,attachment,0.94,0.2142,0.2802
P02-05,attachment,0.9533,0.2148,0.2807
P02-06,attachment,0.9667,0.2154,0.2812
P02-07,attachment,0.98,0.2161,0.2816
P02-08,attachment,0.9933,0.2167,0.2821
P02-09,attachment,1.0067,0.2173,0.2826
P02-10,attachment,1.02,0.2179,0.283
P02-11,attachment,1.0333,0.2186,0.2835
P02-12,attachment,1.0467,0.2192,0.284
P02-13,attachment,1.06,0.2198,0.2844
P02-14,attachment,1.0733,0.2204,0.2849
P02-15,attachment,1.0867,0.2211,0.2854
P02-16,attachment,1.1,0.2217,0.2858
P03-01,jealousy_inertia,0.9,0.217,0.2878
P03-02,jealousy_inertia,0.9133,0.217,0.2871
P03-03,jealousy_inertia,0.9267,0.217,0.2863
P03-04,jealousy_inertia,0.94,0.217,0.2856
P03-05,jealousy_inertia,0.9533,0.217,0.2849
P03-06,jealousy_inertia,0.9667,0.217,0.2841
P03-07,jealousy_inertia,0.98,0.217,0.2834
P03-08,jealousy_inertia,0.9933,0.217,0.2827
P03-09,jealousy_inertia,1.0067,0.217,0.282
P03-10,jealousy_inertia,1.02,0.217,0.2812
P03-11,jealousy_inertia,1.0333,0.217,0.2805
P03-12,jealousy_inertia,1.0467,0.217,0.2798
P03-13,jealousy_inertia,1.06,0.217,0.279
P03-14,jealousy_inertia,1.0733,0.217,0.2783
P03-15,jealousy_inertia,1.0867,0.217,0.2776
P03-16,jealousy_inertia,1.1,0.217,0.2769
P04-01,rejection_sensitivity,0.9,0.217,0.2823
P04-02,rejection_sensitivity,0.9133,0.217,0.2823
P04-03,rejection_sensitivity,0.9267,0.217,0.2823
P04-04,rejection_sensitivity,0.94,0.217,0.2823
P04-05,rejection_sensitivity,0.9533,0.217,0.2823
P04-06,rejection_sensitivity,0.9667,0.217,0.2823
P04-07,rejection_sensitivity,0.98,0.217,0.2823
P04-08,rejection_sensitivity,0.9933,0.217,0.2823
P04-09,rejection_sensitivity,1.0067,0.217,0.2823
P04-10,rejection_sensitivity,1.02,0.217,0.2823
P04-11,rejection_sensitivity,1.0333,0.217,0.2823
P04-12,rejection_sensitivity,1.0467,0.217,0.2823
P04-13,rejection_sensitivity,1.06,0.217,0.2823
P04-14,rejection_sensitivity,1.0733,0.217,0.2823
P04-15,rejection_sensitivity,1.0867,0.217,0.2823
P04-16,rejection_sensitivity,1.1,0.217,0.2823
P05-01,n_comparisons_scale,0.5,0.1979,0.268
P05-02,n_comparisons_scale,0.5667,0.1979,0.268
P05-03,n_comparisons_scale,0.6333,0.1979,0.268
P05-04,n_comparisons_scale,0.7,0.1979,0.268
P05-05,n_comparisons_scale,0.7667,0.1979,0.268
P05-06,n_comparisons_scale,0.8333,0.1979,0.268
P05-07,n_comparisons_scale,0.9,0.217,0.2823
P05-08,n_comparisons_scale,0.9667,0.217,0.2823
P05-09,n_comparisons_scale,1.0333,0.217,0.2823
P05-10,n_comparisons_scale,1.1,0.217,0.2823
P05-11,n_comparisons_scale,1.1667,0.217,0.2823
P05-12,n_comparisons_scale,1.2333,0.2362,0.2966
P05-13,n_comparisons_scale,1.3,0.2362,0.2966
P05-14,n_comparisons_scale,1.3667,0.2362,0.2966
P05-15,n_comparisons_scale,1.4333,0.2362,0.2966
P05-16,n_comparisons_scale,1.5,0.2362,0.2966
