sample_id,r0,delta,drift,r1,bounds_ok
R001,0.5078,-0.093,0.0001,0.4147,1
R002,0.5917,-0.0087,0.0007,0.5822,1
R003,0.4552,-0.0927,-0.0004,0.3629,1
R004,0.3674,0.0137,-0.0011,0.3822,1
R005,0.3844,0.1069,-0.0009,0.4922,1
R006,0.2791,0.193,-0.0018,0.4738,1
R007,0.7116,-0.002,0.0017,0.7079,1
R008,0.2447,0.0041,-0.002,0.2509,1
R009,0.7565,-0.1408,0.0021,0.6137,1
R010,0.4459,-0.109,-0.0004,0.3373,1
R011,0.5848,0.0953,0.0007,0.6794,1
R012,0.3716,0.0967,-0.001,0.4693,1
R013,0.4705,0.0597,-0.0002,0.5304,1
R014,0.725,-0.1315,0.0018,0.5917,1
R015,0.776,0.1668,0.0022,0.9406,1
R016,0.7045,0.0097,0.0016,0.7126,1
R017,0.1897,0.0233,-0.0025,0.2155,1
R018,0.2421,-0.1089,-0.0021,0.1352,1
R019,0.665,0.1878,0.0013,0.8514,1
R020,0.2916,0.1568,-0.0017,0.4501,1
R021,0.8838,0.0177,0.0031,0.8984,1
R022,0.3519,0.0693,-0.0012,0.4224,1
R023,0.248,0.0756,-0.002,0.3256,1
R024,0.4694,0.1278,-0.0002,0.5974,1
R025,0.2627,-0.0387,-0.0019,0.2259,1
R026,0.8577,0.1965,0.0029,1.0,1
R027,0.4577,-0.0245,-0.0003,0.4336,1
R028,0.1362,-0.0101,-0.0029,0.1291,1
R029,0.4441,0.1144,-0.0004,0.559,1
R030,0.7674,0.0218,0.0021,0.787,1
R031,0.7575,0.0877,0.0021,0.8431,1
R032,0.6354,0.1907,0.0011,0.825,1
R033,0.1889,0.0561,-0.0025,0.2475,1
R034,0.5321,-0.0817,0.0003,0.4501,1
R035,0.5491,0.1395,0.0004,0.6882,1
R036,0.4618,-0.0985,-0.0003,0.3636,1
R037,0.2938,0.1611,-0.0016,0.4566,1
R038,0.8653,0.1105,0.0029,0.9729,1
R039,0.4546,-0.0142,-0.0004,0.4408,1
R040,0.5414,0.1289,0.0003,0.6699,1
R041,0.7997,-0.0643,0.0024,0.733,1
R042,0.3719,0.094,-0.001,0.4669,1
R043,0.4965,-0.0064,-0.0,0.4902,1
R044,0.2594,0.1099,-0.0019,0.3712,1
R045,0.1923,0.1798,-0.0025,0.3746,1
R046,0.694,0.0383,0.0016,0.7307,1
R047,0.8186,0.0361,0.0025,0.8522,1
R048,0.1295,-0.0148,-0.003,0.1177,1
R049,0.5677,0.0075,0.0005,0.5747,1
R050,0.5948,0.0747,0.0008,0.6688,1
R051,0.6454,-0.0782,0.0012,0.5661,1
R052,0.8428,-0.0265,0.0027,0.8136,1
R053,0.5625,-0.0988,0.0005,0.4632,1
R054,0.8364,-0.0436,0.0027,0.7901,1
R055,0.5516,0.0671,0.0004,0.6183,1
R056,0.5201,-0.0943,0.0002,0.4256,1
R057,0.8519,-0.0961,0.0028,0.753,1
R058,0.2147,-0.0775,-0.0023,0.1395,1
R059,0.8627,-0.0935,0.0029,0.7663,1
R060,0.7809,-0.0264,0.0022,0.7522,1
