label,series,gpu,vram_gb,tok_s_mean,tok_s_p95,ttft_ms_mean,cold_start_s_mean,n,date,notes
MEASURED,20-series,RTX 2060 6GB,6,28,22,420,18,12,2026-08-14,measured
MEASURED,30-series,RTX 3090 24GB,24,95,82,180,9,20,2026-09-02,measured
MEASURED,50-series,RTX 5070 Ti 16GB,16,110,96,160,8,10,2026-09-18,measured
SIMULATED,20-series,RTX 2050 Laptop,4,14,11,780,28,,2026-09-20,simulated_probable
SIMULATED,20-series,RTX 2070,8,38,30,360,16,,2026-09-20,simulated_probable
SIMULATED,20-series,RTX 2080 Ti,11,48,40,300,14,,2026-09-20,simulated_probable
SIMULATED,30-series,RTX 3060,12,52,44,280,13,,2026-09-20,simulated_probable
SIMULATED,30-series,RTX 3060 Ti,8,55,46,260,12,,2026-09-20,simulated_probable
SIMULATED,30-series,RTX 3070,8,62,52,240,11,,2026-09-20,simulated_probable
SIMULATED,30-series,RTX 3070 Ti,8,68,58,230,11,,2026-09-20,simulated_probable
SIMULATED,30-series,RTX 3080,10,78,66,210,10,,2026-09-20,simulated_probable
SIMULATED,30-series,RTX 3080 Ti,12,85,72,200,10,,2026-09-20,simulated_probable
SIMULATED,40-series,RTX 4060,8,58,48,250,12,,2026-09-20,simulated_probable
SIMULATED,40-series,RTX 4060 Ti,16,70,60,220,11,,2026-09-20,simulated_probable
SIMULATED,40-series,RTX 4070,12,82,70,200,10,,2026-09-20,simulated_probable
SIMULATED,40-series,RTX 4070 Ti,12,92,78,185,9,,2026-09-20,simulated_probable
SIMULATED,40-series,RTX 4080,16,105,90,170,9,,2026-09-20,simulated_probable
SIMULATED,40-series,RTX 4090,24,130,112,150,8,,2026-09-20,simulated_probable
SIMULATED,50-series,RTX 5060,8,65,55,230,11,,2026-09-20,simulated_probable
SIMULATED,50-series,RTX 5070,12,95,82,175,9,,2026-09-20,simulated_probable
SIMULATED,50-series,RTX 5080,16,125,108,155,8,,2026-09-20,simulated_probable
SIMULATED,50-series,RTX 5090,32,160,140,130,7,,2026-09-20,simulated_probable
